,Id,start_date,start_date_id_diff,start_date_id_diff_reverse,L1_S24_F1559,L3_S32_F3851,L1_S24_F1827,L1_S24_F1582,L3_S32_F3854,L1_S24_F1510,L1_S24_F1525,L3_S30_start_date,start_date_OOF,start_date_id_diff_OOF,start_date_id_diff_reverse_OOF,L1_S24_F1559_OOF,L3_S32_F3851_OOF,L1_S24_F1827_OOF,L1_S24_F1582_OOF,L3_S32_F3854_OOF,L1_S24_F1510_OOF,L1_S24_F1525_OOF,L3_S30_start_date_OOF
0,4,82.24,-2314450,-224451,0,0,0,0,0,0,0,87.26,0.0,0.00588929271625,0.00644950904392,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
1,6,1313.12,-2284042,-67530,0,0,0,0,0,0,0,1315.73,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
5,13,1331.66,-2307035,-9079,0,0,0,0,0,0,0,1339.7,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
7,16,791.22,-2094956,-101101,1,0,1,0,0,3,3,804.34,0.0,0.00588929271625,0.0,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.0
8,18,517.64,-2356186,-121525,0,0,0,0,0,0,0,518.06,0.0,0.0,0.00644950904392,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
9,23,156.27,-2363501,-3558,0,0,0,0,0,0,0,157.87,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
13,31,98.99,-2349869,-15324,0,0,0,0,0,0,0,99.65,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
17,44,1532.42,-2359736,-4569,0,0,0,0,0,0,0,1541.98,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
19,49,675.84,-2365305,-2485,0,0,0,0,0,0,0,677.65,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
20,52,966.77,-2367009,-64440,0,0,0,0,0,0,0,991.59,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
21,55,1341.05,-2304684,-5092,0,0,0,0,0,0,0,1346.16,0.0,0.0,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
23,57,609.56,-2154361,-9398,0,0,0,0,0,0,0,611.46,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
24,63,656.22,-2287306,-62677,0,0,0,0,0,0,0,668.01,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
25,68,1450.09,-713521,-53911,0,0,0,0,0,0,0,1450.82,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
26,70,187.57,-2322807,-20710,0,0,0,0,0,0,0,-9.0,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.00558885974772
29,73,319.66,-2310728,-5381,0,0,0,0,0,0,0,321.26,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
34,81,1378.89,-2362722,-3508,0,0,0,0,0,0,0,1379.53,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
35,82,1674.9,-2340018,-5622,0,0,0,0,0,0,0,1691.65,0.0,0.00588929271625,0.0,0.00540415494186,0.00503915232171,0.00540311372965,0.00582041315309,0.00503915232171,0.00540296992245,0.00540319668548,0.0
36,84,723.66,-2307372,-3011,1,0,1,0,0,3,3,759.85,0.0,0.00588929271625,0.0,0.00947217644431,0.00503915232171,0.00939583144813,0.00582041315309,0.00503915232171,0.00944567917375,0.0094374686899,0.166666666667
