,Id,L1_S24_F1510,L1_S24_F1525,L1_S24_F1559,L1_S24_F1582,L1_S24_F1827,L3_S32_F3851,L3_S32_F3854,L3_S30_D3496,L3_S30_D3501,L3_S30_D3506,L3_S30_D3511,L3_S30_D3516,L3_S33_D3856,StartTime,test_1,test_2,test_3,test_4,L0_S0_F0,L0_S0_F16,L0_S0_F20,L1_S24_F1604,L1_S24_F1632,L1_S24_F1695,L1_S24_F1723,L1_S24_F1846,L3_S29_F3407,L3_S30_F3749,L3_S30_F3759,L3_S32_F3850,L3_S33_F3855,L3_S33_F3865,L3_S38_F3952,Response,mindate,mindate_id_diff,mindate_id_diff_reverse
1,6,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.082,-0.143,-0.004,,-0.029,-0.047,,0,1313.12,-2284042.0,-67530.0
3,9,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.0060099489019,0.00574851814646,0.0,-0.036,-0.026,-0.253,,,,,,0.063,0.147,-0.156,,0.017,0.035,,0,1149.2,-2196581.0,-3564.0
5,13,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,0.003,-0.005,-0.035,,,,,,0.082,0.029,0.117,,0.017,-0.055,,0,1331.66,-2307035.0,-9079.0
7,16,0.0089159864949,0.00892351045395,0.00897940291599,0.194805194805,0.00893572627345,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.0060099489019,0.00574851814646,0.0,,,,,,-0.007,-0.006,0.111,0.057,-0.105,-0.119,,-0.21,-0.006,,0,791.22,-2094956.0,-101101.0
9,23,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00510481155642,0.00570678999824,0.00574851814646,0.0,,,,,,,,,-0.68,-0.184,0.006,,0.153,0.018,,0,156.27,-2363501.0,-3558.0
11,27,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.062,-0.199,-0.285,,,,,,0.037,0.166,-0.133,,0.017,-0.063,,0,392.85,-2353515.0,-9571.0
13,31,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00570678999824,0.00574851814646,0.0,-0.003,-0.031,0.152,,,,,,-0.702,-0.18,-0.096,,0.017,0.059,,0,98.99,-2349869.0,-15324.0
15,38,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00543507652371,0.00570678999824,0.00574851814646,0.0,0.252,-0.179,-0.101,,,,,,0.104,-0.139,-0.024,,-0.256,-0.095,,0,1633.8,-2290079.0,-70720.0
17,44,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00570678999824,0.00574851814646,0.0,-0.016,0.081,0.286,,,,,,0.104,0.038,0.015,,0.062,0.026,,0,1532.42,-2359736.0,-4569.0
19,49,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00570678999824,0.00574851814646,0.0,0.088,-0.112,0.166,,,,,,0.101,-0.046,-0.121,,-0.029,-0.095,,0,675.84,-2365305.0,-2485.0
21,55,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00574228697231,0.0,0.0,,,,,,,,,0.082,-0.053,0.008,,-0.029,-0.014,,0,1341.05,-2304684.0,-5092.0
23,57,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00732285160457,0.00574851814646,0.0,0.01,0.112,-0.15,,,,,,0.101,-0.037,-0.072,,0.017,0.043,,0,609.56,-2154361.0,-9398.0
25,68,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00510481155642,0.0060099489019,0.00574851814646,0.0,0.036,-0.097,0.129,,,,,,0.104,0.189,0.222,,-0.029,-0.014,,0,1450.09,-713521.0,-53911.0
27,71,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.167,0.163,0.286,,,,,,0.104,0.174,-0.018,,0.108,0.108,,0,1458.06,-2359135.0,-4153.0
29,73,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,,,,,,,,,0.037,-0.091,-0.117,,0.108,0.083,,0,319.66,-2310728.0,-5381.0
31,76,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,,,,,,,,,-0.702,-0.181,0.093,,-0.029,0.051,,0,118.61,-2361449.0,-53084.0
33,79,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.00640403168119,,,,,,,,,-0.657,-0.157,0.213,,-0.074,0.01,,0,31.89,-2329468.0,-196988.0
35,82,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,-0.016,-0.092,-0.197,,,,,,0.104,-0.007,-0.101,,0.153,-0.136,,0,1674.9,-2340018.0,-5622.0
37,86,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,-0.003,0.025,0.151,,,,,,0.063,0.129,-0.037,,0.199,0.035,,0,922.9,-2299211.0,-5027.0
39,88,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00570678999824,0.00574851814646,0.0752187411798,,,,,,,,,0.057,0.285,-0.135,,-0.21,0.124,,0,620.88,-2366541.0,-1.0
41,92,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,0.108,-0.067,0.09,,,,,,0.104,0.048,-0.051,,-0.301,0.108,,0,1496.77,-2356827.0,-54141.0
43,95,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,0.088,0.076,-0.1,,,,,,0.057,0.055,0.048,,0.153,0.051,,0,821.29,-2358037.0,-55194.0
45,97,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.082,-0.093,-0.033,,-0.029,-0.014,,0,1295.75,-2364960.0,-66601.0
47,99,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00570678999824,0.00574851814646,0.0752187411798,0.016,-0.021,-0.207,,,,,,0.057,-0.051,0.02,,0.108,0.035,,0,691.0,-2325005.0,-1.0
49,103,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.00615479476415,0.00615480577731,0.00615637498544,0.00615637498544,0.00615637498544,0.00515256426014,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.055,0.0,-0.12,,,,,,,,,,,,,0,1443.16,-2349493.0,-3267.0
51,106,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,0.075,0.076,0.172,,,,,,-0.702,-0.157,0.053,,-0.029,-0.104,,0,62.88,-531604.0,-4008.0
53,112,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00510481155642,0.00570678999824,0.00574851814646,0.0,0.03,-0.056,-0.303,,,,,,0.063,0.202,-0.105,,-0.029,-0.071,0.002,0,936.79,-2316529.0,-3057.0
55,116,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0448195576251,0.0,0.0,0.0,0.0,0.0,0.00515256426014,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,,,,,,,,,0.082,-0.113,-0.046,0.044,,,,0,555.38,-2152868.0,-10788.0
57,120,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.00615479476415,0.00615480577731,0.00615637498544,0.00615637498544,0.00615637498544,0.00515256426014,0.0,0.00591507973527,0.0060099489019,0.00574851814646,0.00640403168119,-0.036,0.071,-0.072,,,,,,,,,,,,,0,1412.92,-2364899.0,-40451.0
59,123,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.023,-0.021,0.358,,,,,,0.101,-0.172,-0.126,,-0.165,0.002,,0,591.9,-2364951.0,-77267.0
61,125,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.029,0.076,-0.255,,,,,,0.101,0.079,-0.048,,-0.301,0.051,,0,609.39,-2328700.0,-29602.0
63,127,0.00932835820896,0.00941676792224,0.00897940291599,0.194805194805,0.00893572627345,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00540177371674,0.00574851814646,0.0,,,,-0.008,-0.017,,,-0.145,0.063,0.239,-0.069,,0.062,-0.112,,0,978.11,-2315264.0,-3253.0
65,135,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00543507652371,0.00574228697231,0.00574851814646,0.0,0.023,0.015,0.139,,,,,,-0.702,-0.169,0.281,,0.108,0.043,,0,139.45,-2361280.0,-71697.0
67,137,0.0089159864949,0.00892351045395,0.00897940291599,0.194805194805,0.00893572627345,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00570678999824,0.00574851814646,0.00640403168119,,,,-0.008,0.02,,,-0.094,0.057,-0.171,0.004,,-0.165,0.035,,0,706.65,-2180660.0,-246773.0
