feature,fscore,overall
L3_S30_D3506,0.0712706402227,True
start_date_id_diff_reverse,0.0295665816173,True
L3_S30_D3501,0.028622524528,True
L3_S29_start_date_id_diff_reverse,0.0231716561961,True
L3_S32_F3854,0.0211165200847,True
L3_S38_F3952,0.0181744462992,True
L3_S30_start_date_id_diff_reverse,0.0158690238665,True
L3_S33_F3865,0.0153463730547,True
L3_S32_time_span_rank,0.0139181126085,True
L3_S37_end_date,0.0137061403509,True
L3_S29_F3351,0.0130130727041,True
L3_S33_D3856,0.0122267581751,True
L3_S30_D3511,0.0120063517434,True
L3_S33_start_date,0.0109129543239,True
L3_S38_start_date_id_diff_reverse,0.010664906439,True
L3_S30_F3744,0.0101319179954,True
L3_S33_F3857,0.00934012655335,True
L3_S29_F3339,0.00920443465165,True
L3_S29_end_date_id_diff_reverse,0.00886849059595,True
end_date,0.0087888988445,True
L1_S24_F1525,0.00868127185972,True
time_per_TS_cat,0.00832032165025,True
end_date_id_diff_reverse,0.00799286123241,True
L3_S32_F3850,0.00795632276897,True
start_date_id_diff,0.00791271117206,True
L3_S33_F3855,0.00778579238915,True
L3_S29_F3342,0.00757226089401,True
end_date_id_diff,0.00725985041554,True
L3_S34_start_date_id_diff_reverse,0.00722897938824,True
L1_S24_F1559,0.00711514070887,True
time_span,0.00692440078963,True
L3_S32_D3852,0.00684167405089,True
start_date,0.00684027286217,True
time_per_TS,0.00683770845199,True
L3_S30_F3759,0.00678920850874,True
L3_S34_end_date,0.00670618591482,True
L3_S30_end_date_id_diff_reverse,0.00667964015446,True
L3_S30_F3749,0.00667616014867,True
L1_S24_F1844,0.00666057670549,True
L3_S29_F3458,0.00657979896624,True
L3_S33_start_date_id_diff,0.00647321199512,True
L3_S29_start_date_id_diff,0.00630626446398,True
L3_S33_F3859,0.0062666613098,True
L2_S26_F3073,0.00621570368342,True
L3_S29_F3348,0.00620724993627,True
L3_S30_F3829,0.00612745782401,True
L3_S29_F3407,0.0060746504645,True
L3_S42_time_span_rank,0.00606771368512,True
end_date_id_diff_magic,0.0060327396425,True
L0_S10_F259,0.00602735428523,True
L1_S24_F1846,0.00595825329082,True
L3_S30_end_date,0.00594850917234,True
L0_S20_time_span_rank,0.00584795321637,True
L3_S51_D4255,0.00582695230301,True
L3_S30_start_date_id_diff,0.00579290877444,True
L3_S30_F3754,0.0057131541323,True
L3_S34_start_date_id_diff,0.00567695212378,True
L3_S30_F3809,0.00566866879198,True
L3_S30_D3496,0.00531671472279,True
time_per_TS_num,0.00522074882234,True
L3_S40_D3981,0.00518860283152,True
L3_S37_start_date_id_diff_reverse,0.0051803648645,True
L3_S30_F3544,0.0051015488274,True
L0_S5_start_date_id_diff_reverse,0.00495822484493,True
L3_S30_F3704,0.00495618665883,True
L1_S24_F1672,0.00487159657701,True
L3_S30_F3804,0.00485187326017,True
L3_S33_start_date_id_diff_reverse,0.00482345269053,True
L0_S1_end_date_id_diff,0.00479199176654,True
L3_S30_F3769,0.00478614974818,True
L3_S30_D3516,0.00472332081442,True
L3_S33_D3858,0.00467610665244,True
L3_S30_F3554,0.00461736047906,True
L0_S1_end_date_id_diff_reverse,0.00450379831499,True
L3_S33_time_span_rank,0.00449530746637,True
L3_S30_F3774,0.00440179166434,True
L3_S33_start_date_rank,0.00433217213109,True
L3_S29_F3324,0.00432430875865,True
L1_S24_F1581,0.00430468514304,True
L3_S36_start_date_id_diff,0.00430157433589,True
L0_S1_F28,0.0042795250323,True
L0_S1_start_date_id_diff_reverse,0.00427938745903,True
L0_S1_start_date_id_diff,0.00424378859833,True
L3_S30_F3794,0.00423554218275,True
L0_S2_start_date,0.00418566565379,True
L3_S38_start_date_id_diff_magic,0.0041605327066,True
L0_S1_start_date,0.00413590790936,True
L3_S30_F3574,0.00407580981658,True
L1_S24_D1558,0.00406042261391,True
L3_S37_start_date_id_diff,0.00404940346135,True
L3_S36_D3919,0.00404040193738,True
L3_S29_D3474,0.00403129979821,True
L2_S27_F3129,0.00402911727526,True
L2_S26_F3106,0.00401088034856,True
L3_S29_F3373,0.00400331804255,True
L3_S30_F3604,0.00399608632306,True
L0_S16_start_date_id_diff_magic,0.00397000171279,True
L0_S16_start_date_id_diff_reverse,0.00396940628991,True
L1_S24_F1632,0.00393282960235,True
L3_S36_start_date_id_diff_reverse,0.00392206142654,True
L3_S29_F3427,0.00381324264776,True
L0_S21_F487,0.00381194409149,True
L3_S29_F3327,0.00378618252122,True
L1_S25_F1992,0.00371788025267,True
L3_S29_D3316,0.00371311018438,True
L0_S0_start_date,0.00371207739481,True
L0_S0_F6,0.00370934107285,True
L0_S0_F0,0.00369461347662,True
L0_S1_end_date,0.00368787766083,True
L0_S8_start_date_id_diff_reverse,0.00367037430108,True
L0_S23_end_date_id_diff_magic,0.003663003663,True
